datetime;latitude;longitude
1732530762958;47.100018;-1.599584
1732530763020;47.100019;-1.599587
1732530763081;47.100020;-1.599589
1732530763143;47.100021;-1.599591
1732530763204;47.100022;-1.599594
1732530763266;47.100024;-1.599596
1732530763327;47.100025;-1.599599
1732530763389;47.100026;-1.599602
1732530763450;47.100028;-1.599604
1732530763512;47.100029;-1.599607
1732530763573;47.100030;-1.599610
1732530763635;47.100032;-1.599612
1732530763690;47.100033;-1.599615
1732530763745;47.100034;-1.599618
1732530763800;47.100036;-1.599621
1732530763855;47.100037;-1.599624
1732530763910;47.100040;-1.599629
1732530763965;47.100041;-1.599632
1732530764020;47.100043;-1.599635
1732530764075;47.100044;-1.599638
1732530764130;47.100046;-1.599641
1732530764185;47.100047;-1.599644
1732530764240;47.100049;-1.599647
1732530764295;47.100051;-1.599650
1732530764350;47.100052;-1.599653
1732530764405;47.100054;-1.599656
1732530764460;47.100056;-1.599659
1732530764515;47.100058;-1.599662
1732530764570;47.100060;-1.599665
1732530764625;47.100061;-1.599668
1732530764683;47.100063;-1.599671
1732530764741;47.100065;-1.599675
1732530764799;47.100067;-1.599678
1732530764857;47.100071;-1.599684
1732530764916;47.100072;-1.599687
1732530764974;47.100074;-1.599690
1732530765032;47.100076;-1.599694
1732530765090;47.100078;-1.599697
1732530765149;47.100080;-1.599701
1732530765207;47.100082;-1.599704
1732530765265;47.100084;-1.599707
1732530765323;47.100085;-1.599711
1732530765382;47.100087;-1.599714
1732530765440;47.100089;-1.599718
1732530765498;47.100091;-1.599721
1732530765556;47.100093;-1.599724
1732530765615;47.100095;-1.599728
1732530765673;47.100097;-1.599732
1732530765731;47.100099;-1.599735
1732530765789;47.100101;-1.599739
1732530765847;47.100106;-1.599746
1732530765906;47.100108;-1.599749
1732530765964;47.100110;-1.599753
1732530766022;47.100112;-1.599756
1732530766080;47.100115;-1.599760
1732530766139;47.100117;-1.599763
1732530766197;47.100119;-1.599767
1732530766255;47.100121;-1.599770
1732530766313;47.100123;-1.599774
1732530766372;47.100125;-1.599778
1732530766430;47.100127;-1.599782
1732530766488;47.100129;-1.599786
1732530766546;47.100132;-1.599789
1732530766605;47.100134;-1.599793
1732530766663;47.100136;-1.599797
1732530766721;47.100138;-1.599801
1732530766779;47.100140;-1.599805
1732530766837;47.100145;-1.599812
1732530766896;47.100147;-1.599816
1732530766954;47.100149;-1.599820
1732530767012;47.100152;-1.599824
1732530767070;47.100154;-1.599827
1732530767129;47.100156;-1.599831
1732530767187;47.100158;-1.599835
1732530767245;47.100160;-1.599839
1732530767303;47.100163;-1.599843
1732530767362;47.100165;-1.599847
1732530767420;47.100167;-1.599851
1732530767478;47.100169;-1.599855
1732530767536;47.100172;-1.599859
1732530767595;47.100174;-1.599863
1732530767660;47.100176;-1.599867
1732530767725;47.100179;-1.599871
1732530767790;47.100181;-1.599875
1732530767856;47.100188;-1.599887
1732530767921;47.100190;-1.599891
1732530767986;47.100192;-1.599895
1732530768052;47.100194;-1.599899
1732530768117;47.100197;-1.599903
1732530768182;47.100199;-1.599908
1732530768248;47.100201;-1.599912
1732530768313;47.100203;-1.599916
1732530768378;47.100206;-1.599920
1732530768444;47.100208;-1.599924
1732530768509;47.100210;-1.599928
1732530768574;47.100212;-1.599932
1732530768640;47.100215;-1.599936
1732530768695;47.100217;-1.599941
1732530768750;47.100219;-1.599945
1732530768805;47.100221;-1.599949
1732530768860;47.100226;-1.599957
1732530768915;47.100228;-1.599961
1732530768970;47.100230;-1.599965
1732530769025;47.100232;-1.599969
1732530769080;47.100234;-1.599973
1732530769135;47.100237;-1.599977
1732530769190;47.100239;-1.599981
1732530769245;47.100241;-1.599985
1732530769300;47.100243;-1.599989
1732530769355;47.100245;-1.599993
1732530769410;47.100247;-1.599997
1732530769465;47.100249;-1.600001
1732530769520;47.100251;-1.600005
1732530769575;47.100253;-1.600009
1732530769630;47.100255;-1.600013
1732530769691;47.100257;-1.600017
1732530769753;47.100259;-1.600021
1732530769815;47.100260;-1.600025
